comment,likes,dislikes,
"???: 마감을 한 뒤 뭘 하십니까?
작가: 쉬죠
???: 휴재를 하면요?
작가: 쉬죠?
???: 그렇다면 쉬기 위해 연재하는 것 아닙니까? 그냥 대충 그리거 쉬는 건 어떨까요?
작가: ...!",12031,457,비판
"어떻게 기술 이름이 ""모든 날이 대체휴일"" ㅋㅋㅋㅋㅋ",11031,78,작품내용
"오늘분량은 괜찮은데
거의 1.5회쯤은되는듯",9123,174,칭찬
다른덴 회상넣고 그냥 가는데 회상있다고 분량 늘린 그는 도대체...,7109,144,작품내용
"작가님께서 독자들이 원하는 개선방향을 모니터링 잘 하고 계신것 같습니다.
과거회상씬으로 분량 잡아먹는다 -> 분량을 두배로늘림
전투씬을 못알아보겠다 -> 디테일추가 및 캐릭터 개인컷 추가됨으로 이전보다 알아보기 쉬워짐

전성기는 다시 온다..",6420,163,칭찬
"매주 소장하고있는 독자로서 드는 생각은 이번 회차 분량도 엄청나고 칼라반과 라이볼릭의 대치상황까지 온거만해도 나쁘지 않습니다. 다만 작가님께서 선택과 집중을 하실 때가 온 것 같습니다. 지금 전쟁은 신의탑 전체 에피에서 터닝포인트가 되는 전쟁이라고 생각합니다. 이런 스케일 크고 중요한 전쟁에서 캐릭터 전부 다 챙겨가려다가 오히려 스토리 전체를 다 버리는 상황이 올 수 있습니다. 하천희가 칼라반에 충성심을 갖는 이유에 대해 독자가 납득할수있게 회상을 넣으신거 같은데 회상이 있음으로써 그 이유는 매끄럽게 납득이 되지만 사실상 회상이 없다고 해서 독자들이 하천희의 충성심을 이상하게 생각할 상황은 아니었습니다. 이런 미시적인 부분들은 가감없이 버리시고 중요한 인물들(칼라반,야마,야스라챠,에반켈 등)의 전투신 위주와 밤을 둘러싸고 탑에 불어오는 거시적인 변화들을 보여주는 것이 더 효과적일것이라는 생각이듭니다",5322,473,칭찬
회상 다 빼고도 다른 화정도 분량 나오는데 왜 별테하는거임?,3205,156,칭찬
오늘은 그림체도 괜찮은거 같은데?,2438,128,칭찬
"칼라반 vs 라이볼릭
이거하나만으로도 이번화는 성공이다",2225,80,작품내용
"솔직히 신의탑 전개속도는 원래부터 느린편이었음 대표적인 예시가 지옥열차 에피소드였고 그때도 비판을 받기는 했었음
다만 지금처럼 별점이 떡락하는 경우는 없었는데 작가님이 휴재하시면서 잼민이들이 유입된것도 있지만 그림체와 더욱 느려진 전개도 영향을 끼치긴 함",1754,97,작품내용
"작가가 랭커라는 캐릭터들 밸런스와 인식을 망치고 있다
진지하게 랭커라는 것들이 기초적인 지식 수준마저 있는지 궁금할 정도

예전 랭커들은 상황판단도 빠르고 이게 랭커구나 하는 느낌이 있었는데
이번편만 봐도 지파장대리라는 놈이 전 군단장 보고 ""이젠 중대장이잖아""
하면서 돌진하는게 말이되냐",1428,121,비판
"그리고 싸움신갔다가 다른장면 갔다가 왔다갔다 하는거 질색임 이젠 제발 그싸움 끝날때까지 그장면만 하자 회상장면 까진 이해해줌
아니면 다른쪽 상황 제발 잠깐만하고.. 중요한 부분 몰입감 떨어짐

돌아버림 싸우다가 광고보는것도아니고",697,100,비판
"근데 2부 330화 보면 하천희 피부색 원래부터 파랑파랑하진 않고 그냥 일반 사람같은 피부색이었는데?

설정 충돌 맞는 거 같긴 한데 알고보니 파란 피부 -> 화장해서 일반 인간 피부색 -> 지금 가부키 화장
이런 거임? 앜 ㅋㅋㅋㅋㅋㅋ",588,26,비판
대댓글 보니까 포인트 못짚는것 같아서 말해보는건데 회상씬 분량이 많다고 억까하는게 아니라 '쓸데없는'회상이 들어가서 까고있는거임. 솔직히 저게 전개상 정말 필요한 회상이었으면 다 재밌게 봤겠지. 근데 다시 보면 알겠지만 저건 이번 화에서 통째로 없애도 문제가 없는 수준임.,360,68,논쟁
랭커 능지와 판단능력에 대한 베댓은 ㄹㅇ 공감되네 하천희도 그렇고 너무 랭커로써 위엄이 떨어지는 느낌이 많이들었는데 나만 느낀게 아니였구만 적어도 고인물 썩은물들 싸움인데 하천희는 도전자 느낌의 저자세도 너무 위엄없고 싸움들이 수싸움도 없고 평면적인게 선별인원들싸우는거보다 재미가 없네,207,12,비판
