comment,likes,dislikes,
"신의 탑 설정을 보면 10가주가 온 순간 승산은 없음
그에 준하는 사람이 와야해.......",11946,69,작품내용
"하진성 팔 분명히 박살났다곤 했지만
그정도 상처에서 회복되는 시간,
마스체니가 뒤에서 도움을 주었다면
완치도 가능성이 없는건 아니지.
마스체니가 놀랄 정도였으니..
오히려 이제 진심으로 싸울테니까
하진성 전력을 볼 수 있는건가..!

오늘 가주 포스는 인정..
주변을 한순간에 어둡게 만든다던가
대사의 간결함은 솔직히 옛날 감성 좀 난 것 같네요.

또 하나 떡밥은 ""여긴"" 너무 밝다는 것.
가주가 직접 이야기 한 피셜이라 나중에 큰
연관이 있을지도?",8382,257,작품내용
로포비아 가주가 유한성이 자신의 친구가 찾는이라고 한걸 보면 역시 헨도가문인가...??,5852,82,작품내용
"미물이라면서 보지도 않는 로 포 비아와 달리 친히 눈 맞추시고
직접 벌레라 칭찬도 해주시는 그는
.
.
.
.
""포 비더 구스트앙""",4825,55,작품내용
현 10가주 중에 영생 계약을 못한건 헨도 가문의 가주밖에 없으니 로 포 비아 가주가 말한 친구는 헨도가문의 가주인듯,4788,56,작품내용
오랜만에 제대로 된 신의 탑을 보는듯~,3082,113,칭찬
오늘 봉인진에 나온 문양 1부 33화에 10가문 소개에 나오던 문양중 7번째 문양이랑 똑같네..이게 로포비아 가문 문양인건가보네..로포비아 가주가 나왔으니 이제 나올만한 인물은 가주급은 되야 될거같은데..유한성이랑 연관있을거같으니 헨도인가..,2488,39,작품내용
그림체 점점 깔끔해지고 2부 그림체로 돌아오는거 같음,2240,124,칭찬
가주 본 야스라챠 반응 보고싶다 ㅋㅋㅋㅋㅋ,1792,41,작품내용
"역시 가주는 차원이 다르네 말 한마디에 공간이 어두워짐 ㅎㄷㄷ,, 근데 어디에 있다가 오길래 춥고 밝다고 하는건지 개궁금하네",1627,44,작품내용
어둡고 따듯한곳. 생명이 만들어지고 잉태되는곳. 무수한 세포와 유전자가 합을 이루는 곳. 어머니의 자궁속이다. 모함 자체가 생명체이자 산란장이라 예상되며 가주의 자세를 보아도 태아가 자궁속에 웅크리고 있듯이 빛을 피해 웅크린 자세를 유지하고 있다. 의외로 가주는 아이의 정신상태를 가지고 있지 않을까 유추해본다.,1496,52,작품내용
"마스체니가 큰그림을 그렷네 저 봉인진을 풀기위해 밤을이쪽으로오게하기위하여 하진성납치 캬 대박..
누가봉인되있는지 궁금하구만...",1377,53,작품내용
"지금 판세가 딱 마스체니 자하드가 원하는데로 흐르는거 같은데...

마스체니 자하드는 지금 까지의 행보로는 반자하드인게 맞는거 같고..
그럼 봉인된 엔 자하드의 봉인 해제 + 13월의 저주 해제 가능한 밤이 필수 조건시 되는거.. 그래서 밤을 끌어들이기 위해 자하드군과의 전면전을 하게끔 유도 한거고 중요시기에 하진성도 풀어줬고..

이제 일 전에 뿌려놓기만 해놓은 떡밥들 회수들어가는거 같아서 기대기대",1357,68,작품내용
"이제 레파브브는 사망 확정이네 ㅋㅋㅋㅋㅋㅋㅋ
가문도 배신해 군도 배신해
심지어 가주가 바로 앞에있음 ㅋㅋㅋㅋㅋ
이쁘긴 하지만 잘가라..",1333,73,작품내용
그리웠던 그림체가 조금씩 보인다..,1290,73,칭찬
