comment,likes,dislikes,
신의 탑 요즘 폼 미쳤으면 개추 ㅋㅋ,5218,79,칭찬
"하 진짜 뭔일 있었는데 다들 저런 정신이상자가 된거냐
트로이메라이 엔키두 조종하고서는 V한테 누명씌우냐",4224,24,작품내용
구스트앙이 ㅈㄴ 항상 어떤일이 일어나면 친목같은거 최대한 배제하고 현실을 최대한 객관적으로 보는 씹상남자네 ㅋㅋㅋㅋㅋㅋㅋ,4097,30,작품내용
와 엔키두 부림당한게 맞았네,3390,27,작품내용
와 구스트앙이 V가 최악이라고했던 이유 떡밥 회수됐네... 트로이메라이가 구라깠구나,2458,156,작품내용
와... 이리되면 엔키두는 가장 믿었던 친구한테 배신당해서 누명을 뒤집어쓴 억울한 죄인이 된거네,2115,15,작품내용
바로 엔키두 목 자르고 소각시켜달라고 하는거 보면 입막음 시키려고 ... ;;,1594,13,작품내용
"v에대한 오해가 해소되면서
10가주들의 분쟁이 치열해질듯",1068,21,작품내용
V가 사주했다고 말한 순간에도 트로이메라이가 조종한거일듯. 구스트앙은 이미 아군인 트메의 추악함이 들어나면 분열은 뻔하기 때문에 이미 13인에서 이탈한 V를 범인으로 몰아서 공공의 적으로 기억하게끔 역사를 쓴듯. 그래서 숨층에서 기억 잃은 구스트앙이 V를 최악의 인간이라 평가한거임. 헤돈은 이를 통해 V와 아를렌과 11인의 사이에 남아있던 동료애 마저도 사라지게 해서 완전 갈라지게끔 조작한거임.,1043,28,작품내용
"이미 트로이메라이는 점점 달라져서 사랑이나 이런 인간적인 감정은 없어지고 단순히 아즈므에 대한 소유욕같은것만 남았고 자기손에서 떠나려하자 죽임.
이미 십가주는 인간이 아닌 괴물이 되어가고있다 ㄷㄷ",864,20,작품내용
실험실 같은곳에 있는 여자 이카루스같은데. 루슬렉이랑 같이 v따라다녔나보네,597,15,작품내용
트로이메라이가 부림을 한거였구나. 그리고 v를 왜 최악이라고 불렀는지 알겠네...,491,27,작품내용
"트로이는 사랑이라 생각했던 아므즈 마저도
결국 자기 멋대로 부리고 싶었던거구나..
아므즈는 사람이라 부릴 수 없어서
마음처럼 소유할 수 없고 떠나려하니까 수인들 죽이듯 죽인거네..",457,16,작품내용
"트로미메라이가 아므즈한테 한 집착이랑 자하드가 아를렌한테 한 집착이랑 비슷하네..

괜히 가까이 지내는 게 아닌 듯",79,2,
