comment,likes,dislikes,
"그냥 빽으로만 주전이되고,감독을 하고, 함부르크에 입단한게 그저 빽이 아니구나.. 직접 운동부의 체벌,악습,부정부패를 몸으로 겪고 변화할수없다는 사실에 진절머리가 났던거구나
시우 저놈도 사연있는 놈이었네 그냥 축구잘하는 앤줄 알았는데",19135,26,작품내용
뭔 상대 수비가 다 장현수냐,11663,164,작품내용
회상은 원래 싫어하는데 이번건 인정,11279,110,칭찬
진짜 웹툰의 정석이다. 한 화를 기똥차게 그려냄,8530,45,칭찬
문제는 저런 감독새끼들이 현실에도 많다는거,7234,45,작품내용
"이게 진짜 우리나라 축구계에 현실입니다 부정 할수없어요
이런 웹툰은 떠야된다 생각해요",3985,24,칭찬
내 200원이 전혀 아깝지 않았다...,3388,34,칭찬
"성원이라는 애 진짜 재능도 있고 잘하는애 였을텐데
그리고 이런상황이 웹툰의 과장이 아니라 실제로 일어나고 있는 일들이여서 더 마음이 착잡해지네",3089,13,작품내용
진짜 난 처음에 성시우가 악역인줄 착각했는데 믿고 있었다구 성시우!!!!!!,2846,33,작품내용
학교 청소년 스포츠에서의 뒷돈 요구는 아직까지 있는 문제지... 불과 작년까지도 계속 적발된 더러운 이슈..,2341,18,작품내용
"빌드업은 한마디면 충분하다.
'만화의 정석'",1374,22,칭찬
와 몰입감 쩐다... 진짜 역대급 축구만화의 기질이 보임,1348,15,칭찬
회상 장면 몰입되고 전개 빨라서 좋다,1084,25,칭찬
엄청 꽉 찬 200원이었다 매우 맘에 드는구만,1039,38,칭찬
레전드,919,16,칭찬
