comment,likes,dislikes,
"뒤마가 간만에 맞는 소리 하네요
한개 가문에 속해서 그간 랭커가 되어 누린게 얼만데 가주가 바라보지 않고 관심 안준다고 버리고 떠나고 그걸 받아주겠냐고",2719,40,작품내용
뒤마 시원시원하네 대사도 좋고 캐릭터 잘 뽑은듯,1886,58,칭찬
라크 너무 야한 거 아니냐,1226,54,작품내용
"라크 꼭 디지몬 아구몬 같네
암흑진화 그레이몬>>스컬 했다가 풀리고 배고파하네",1006,23,작품내용
도대체 신의탑은 왜 그냥 안싸우고 게임만 처하는거임,814,54,비판
"작화가 좋아졌다고???
응??? 전투도 아직도 크게 그리고
잘모르겠어....",668,52,비판
"한때 신의탑을보며 한국에서도 원나블같은 대작이 탄생했구나라고 감동했던 시절이있습니다.
그 후 어떤일이 있었는지 알수는없지만 작화,스토리에서 아쉬움이 많았던건 사실이지만 매주 신의탑이 나오는걸 기다리고 감동했던 시절이 아직 선명합니다.

부디 작가님이 옛 컨디션과 기량 회복하시어 과거 제가 느낀 설렘과 감동을 다시한번 느껴보고싶네요
(게임은 그만했으면...)",544,33,비판
갑자기 초일류웹튜에서 오류 최하급 전개 웹툰으로 전략했어,419,27,비판
"그림체는 대체 왜 작게 안그리는거냐?
이쯤되면 할줄 모른다가 맞겠네
오늘부로 신의탑 하차한다",337,28,비판
기술들은 다 어따갔다 팔아먹었냐,262,12,비판
여전히 재미없군.,221,27,비판
뒤마가 마지막 희망인데 시간 좀 지나고 얘까지 덜떨어진 드립 칠까봐 벌써부터 걱정이네,185,14,비판
그냥 스크롤 주르륵 내림..,181,16,비판
"뭔가... 이작가 점점 날로먹는 기분이드네...
힘들면 휴재하고 쉬고 오시던가 해야지
한두사람이 보는 웹툰도 아닌데 너무 대충만드는거 아닙니까??",191,28,비판
처음부터 쭉 정주행 다시 돌리다가 3부 초반 보고 있는 중인데 작화가 왜캐 별로가 됐냐 3류 로맨스 웹툰 느낌나네,45,6,비판
